time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.24295265449e-08,6.61355950593e-07,10.0034356639,0.000522230494346,6.28294692168,0.0,1.39328661863e-05,5.34665215498e-05,0.114516753553,0.0220574733323,-0.0134207004632,0.0,442.77448381059685,441.66926463202566,439.8280920225749,441.6507146776381
0.12000000000000001,7.77622068094e-06,1.73485182703e-05,10.0102051188,0.00185753801591,6.28181029849,0.0,0.000323524637703,0.000618030207733,0.111131962802,0.0226474842975,-0.0332727239093,0.0,403.59785726678206,401.80238609408076,402.8386431144889,402.89206134162634
0.18,6.34781593222e-05,9.97076102368e-05,10.0199662482,0.00421724456622,6.27964996546,0.0,0.00174548284639,0.00233010083292,0.214223622254,0.060649852935,-0.0421224905803,0.0,439.2632949163548,438.52830996160367,435.3203327253026,438.48888726105463
0.23999999999999996,0.000264281432019,0.000357292984264,10.0391553452,0.0081881664216,6.27710097372,0.0,0.00524842617969,0.00670872848811,0.425353798138,0.0754228864928,-0.043214334923,0.0,471.5076206829812,471.4224025096429,469.80232504078816,470.9491204401807
0.3,0.000730896268392,0.000968439429726,10.070142839,0.0124947411555,6.27460529154,0.0,0.0105951575225,0.0141676521342,0.607476117003,0.0632531736818,-0.0385384970644,0.0,461.8927012375673,462.26039385586284,463.31308156921295,462.359140501135
0.36000000000000004,0.00154992235326,0.00208784300287,10.1093434044,0.0159316227245,6.27276295949,0.0,0.0169111888552,0.0235135001975,0.699150204044,0.0413433599349,-0.0184163652304,0.0,434.13598802450286,435.8204236872929,435.29395953244983,433.459115804709
0.4200000000000001,0.00282452843149,0.00389927889793,10.1580809989,0.0181500906284,6.27140067075,0.0,0.0257207269888,0.0371508566205,0.925273959127,0.0263707954088,-0.0330700445138,0.0,476.51760541556575,475.3962341206552,476.2424400255143,475.0965238350644
0.48000000000000015,0.00461289670321,0.00650072075532,10.2161334671,0.0196087353019,6.26971797638,0.0,0.034071949364,0.0497143688315,1.00973169248,0.0198352428823,-0.0195250098141,0.0,432.5560902245469,433.6948496632525,432.90349080982645,432.3533712937008
0.5400000000000001,0.0069355806246,0.00988672183366,10.2793912688,0.0207472012334,6.26836360305,0.0,0.0434756271877,0.0632674589039,1.09877542593,0.0171948513663,-0.0294964828639,0.0,435.3110713770662,434.47589808678714,434.25106533060887,434.02950917902865
0.6000000000000002,0.0098648152394,0.0141262238759,10.3488252258,0.0220543660115,6.26660310114,0.0,0.0543481295488,0.0781700937917,1.21556647218,0.02967066883,-0.0290339647544,0.0,443.8085533624806,443.84625010474133,442.64625710438355,443.67164325268254
0.6600000000000003,0.013475446288,0.0192797745725,10.4247987135,0.0233952102244,6.26507290739,0.0,0.0661706232877,0.0937786975991,1.31676424638,0.000716214957467,-0.0192417267802,0.0,438.4846942855404,439.297195321737,440.0208700983687,437.61763413603484
0.7200000000000003,0.0178542895165,0.0254296478407,10.5084907714,0.0229325247419,6.26458305678,0.0,0.079871130987,0.111201149634,1.47278065385,-0.0354915358378,0.00786697046685,0.0,455.6520394294235,457.8139471532722,456.9955739833571,454.1006256636545
0.7800000000000004,0.0230951679878,0.0326484326437,10.6034599072,0.0208973270814,6.26549469691,0.0,0.0947325654473,0.129168647729,1.69256433855,-0.0309493626924,0.026845998056,0.0,474.88984956249783,476.34319212943365,475.365141445781,475.71265366251424
0.8400000000000004,0.0292108930034,0.0409089979533,10.7121810074,0.0194101463117,6.26705170723,0.0,0.108923971569,0.145973233038,1.93110724879,-0.0146701566357,0.0240957310706,0.0,482.0363800736397,481.82859289289127,480.74064135874744,481.97239208303813
0.9000000000000005,0.0360717023452,0.0500618785445,10.8309020686,0.0186671499056,6.2682608972,0.0,0.119630749566,0.159037264582,2.02610094633,-0.00816250514923,0.0107943981914,0.0,439.4725736064271,438.3687210196964,438.86324892428524,439.4031527632877
0.9600000000000005,0.0435292659247,0.0599549646775,10.9537195792,0.0183547545653,6.26883966382,0.0,0.128895865037,0.170693397629,2.06774255974,0.000132129514065,0.0072445119433,0.0,422.3872112031221,422.08085456723234,421.6788326447513,422.3948107889361
1.0200000000000005,0.0515979079035,0.070627570058,11.0836374637,0.0184708074619,6.26943287272,0.0,0.139993100897,0.185060281938,2.26248855218,0.00531482602067,0.0147073524906,0.0,469.32497504811477,469.9036913361888,470.34458433724177,470.74573730474066
1.0800000000000005,0.0602417163775,0.08206421915,11.2197491059,0.0186581981494,6.26981883514,0.0,0.148067513778,0.196183199078,2.2745421446,-0.00166657049764,-0.0203720338769,0.0,413.8616592414029,410.7625547862129,414.53023924562245,413.91625785827466
1.1400000000000006,0.0694319335744,0.0942557209164,11.3611441856,0.0189866959203,6.26883441826,0.0,0.158390080858,0.210209136543,2.43828902342,0.0168893384063,-0.0094679883388,0.0,460.6274060307049,461.48895167301976,461.46432958437924,462.92664777928593
1.2000000000000006,0.0792775334499,0.107322705933,11.5135425427,0.0199075453232,6.26877580158,0.0,0.169821911637,0.225461412448,2.64120544855,0.0120704004781,0.0121217317368,0.0,472.49697963640773,474.1584736569412,474.8469194472472,474.47699864490255
1.2600000000000007,0.0897751919,0.121283121833,11.6760073189,0.0202469911956,6.26958459918,0.0,0.180012788046,0.239940769931,2.7739729824,-0.0119958293934,0.0160666619316,0.0,453.2182415091864,453.53507523761607,455.2977831446024,453.3682275320691
